stock_code,name,close,price_change_rate,rps,ma5,ma10,ma20,ma_strength
430418,苏轴股份,42.05,46.26,98,42.99,44.199,40.651,40.89
001256,炜冈科技,25.28,44.95,98,23.464,21.839,19.81,33.63
837663,明阳科技,27.77,44.64,98,27.654,,,
300911,亿田智能,46.5,44.32,98,47.162,45.458,44.5265,37.03
603629,利通电子,35.05,43.77,98,30.108,27.946,27.645,28.14
002853,皮阿诺,16.3,43.11,98,16.004,15.544,13.9805,32.34
603716,塞力医疗,13.42,42.92,98,12.878,11.518,10.924,43.5
430476,海能技术,15.62,42.65,98,14.602,13.605,12.381,34.3
600126,杭钢股份,13.08,42.02,98,13.356,12.772,12.4745,72.29
300938,信测标准,44.4,40.82,98,45.158,39.041,34.6215,48.49
301280,珠城科技,65.98,40.26,98,66.774,66.078,59.1115,36.68
301210,金杨股份,65.93,39.89,97,68.908,70.329,62.9515,53.63
603583,捷昌驱动,47.29,39.62,97,48.54,46.786,43.726,48.98
300126,锐奇股份,7.9,38.84,97,8.076,8.041,7.721,30.35
300779,惠城环保,136.2,38.58,97,134.83,133.482,126.06,30.57
605303,园林股份,11.36,38.2,97,11.902,10.48,9.4635,40.27
605298,必得科技,16.75,37.86,97,16.07,15.084,14.5895,17.88
830879,基康仪器,18.14,37.84,97,19.022,,,
002283,天润工业,7.9,37.15,97,7.814,7.476,6.8985,29.88
605286,同力日升,45.62,36.02,97,42.852,41.8,39.2345,26.53
601789,宁波建工,6.76,36.02,97,6.718,6.658,6.109,33.62
301063,海锅股份,23.03,35.79,97,20.052,18.834,17.9915,18.68
001306,夏厦精密,96.46,35.55,97,100.156,97.578,90.5725,40.82
301379,天山电子,32.86,35.45,97,33.034,29.788,27.693,41.59
600478,科力远,5.87,34.63,97,5.532,5.254,4.8425,25.35
603618,杭电股份,8.56,34.59,97,8.368,7.811,7.1105,36.56
605088,冠盛股份,40.26,34.24,97,39.946,37.931,35.9575,36.33
